customer_term,matched_product_code,matched_product_name,confidence_score,reasoning,match_type,timestamp,source_files
KOMPO KULMALIITIN 90 32x32 PPSU,1726003,PURISTUSKULMA 90° 32 ONEPIPE U-LIITIN,0.9,"Equivalent terms, diameter matches. Material (PPSU) is implied for 'ONEPIPE U-LIITIN' press fittings.",equivalent,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
KOMPO KULMALIITIN 90 26x26 PPSU,1726002,PURISTUSKULMA 90° 25 ONEPIPE U-LIITIN,0.85,Equivalent terms. Diameter 26 vs 25 is a common substitution. Material (PPSU) is implied.,substitute,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
KOMPO KULMALIITIN 90 20x20 PPSU,1726001,PURISTUSKULMA 90° 20 ONEPIPE U-LIITIN,0.95,"Equivalent terms, diameter matches. Material (PPSU) is implied.",equivalent,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
KOMPO KULMALIITIN 90 16x16 PPSU,1726000,PURISTUSKULMA 90° 16 ONEPIPE U-LIITIN,0.95,"Equivalent terms, diameter matches. Material (PPSU) is implied.",equivalent,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
KOMPO KULMALIITIN 45 40x40 PPSU,1750259,PURISTUSKULMA K5 40  45° TIGRIS PPSU,0.95,Customer's 'KOMPO KULMALIITIN 45' is equivalent to 'PURISTUSKULMA 45°'. Diameter and material (PPSU) match.,equivalent,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
KOMPO KULMALIITIN 45 26x26 PPSU,1750188,PURISTUSKULMA K5 25  45° TIGRIS PPSU,0.85,Equivalent terms. Diameter 26 vs 25 is a common substitution. Material (PPSU) matches.,substitute,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
KOMPO T-HAARALIITIN 63x32x63 PPSU,1750069,PURISTUS T-HAARA K1 63X32 TIGRIS PPSU,0.95,Customer's 'KOMPO T-HAARALIITIN' is equivalent to 'PURISTUS T-HAARA'. Sizes and material (PPSU) match.,equivalent,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
KOMPO T-HAARALIITIN 50x32x50 PPSU,1750064,PURISTUS T-HAARA K1 50X32 TIGRIS PPSU,0.95,"Equivalent terms, sizes and material (PPSU) match.",equivalent,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
KOMPO T-HAARALIITIN 40x40x40 PPSU,1750262,PURISTUS T-HAARA K5 40 TIGRIS PPSU,0.95,"Equivalent terms, size and material (PPSU) match. '40' implies a straight tee 40x40x40.",equivalent,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
KOMPO T-HAARALIITIN 40x26x40 PPSU,1750263,PURISTUS T-HAARA K5 40X25X40 TIGRIS PPSU,0.85,Equivalent terms. Diameter 26 vs 25 is a common substitution. Material (PPSU) matches.,substitute,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
KOMPO T-HAARALIITIN 32x16x32 PPSU,1750245,PURISTUS T-HAARA K5 32X16X32 TIGRIS PPSU,0.95,"Equivalent terms, sizes and material (PPSU) match.",equivalent,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
KOMPO T-HAARALIITIN 32x20x32 PPSU,1726030,PURISTUS T-HAARA 32X20 ONEPIPE U-LIITIN,0.95,"Equivalent terms, sizes and material (PPSU implied) match.",equivalent,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
KOMPO T-HAARALIITIN 32x26x32 PPSU,1726031,PURISTUS T-HAARA 32X25 ONEPIPE U-LIITIN,0.85,Equivalent terms. Diameter 26 vs 25 is a common substitution. Material (PPSU implied) matches.,substitute,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
KOMPO T-HAARALIITIN 26x20x26 PPSU,1726028,PURISTUS T-HAARA 25X20 ONEPIPE U-LIITIN,0.85,Equivalent terms. Diameter 26 vs 25 is a common substitution. Material (PPSU implied) matches.,substitute,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
KOMPO T-HAARALIITIN 26x16x26 PPSU,1726027,PURISTUS T-HAARA 25X16 ONEPIPE U-LIITIN,0.85,Equivalent terms. Diameter 26 vs 25 is a common substitution. Material (PPSU implied) matches.,substitute,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
KOMPO T-HAARALIITIN 20x16x20 PPSU,1726025,PURISTUS T-HAARA 20X16 ONEPIPE U-LIITIN,0.95,"Equivalent terms, sizes and material (PPSU implied) match.",equivalent,2025-09-02T21:33:23.136028,customer_example1.txt + offer_example1.txt
KOMPO T-HAARALIITIN 50x50x50 PPSU,1750037,PURISTUS T-HAARA K1 50 TIGRIS PPSU,0.95,"Equivalent terms, size and material (PPSU) match. '50' implies a straight tee 50x50x50.",equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO T-HAARALIITIN 32x32x32 PPSU,1726019,PURISTUS T-HAARA 32 ONEPIPE U-LIITIN,0.95,"Equivalent terms, size and material (PPSU implied) match. '32' implies a straight tee 32x32x32.",equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO T-HAARALIITIN 26x26x26 PPSU,1726018,PURISTUS T-HAARA 25 ONEPIPE U-LIITIN,0.85,Equivalent terms. Diameter 26 vs 25 is a common substitution. Material (PPSU implied) matches.,substitute,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO T-HAARALIITIN 20x20x20 PPSU,1726017,PURISTUS T-HAARA 20 ONEPIPE U-LIITIN,0.95,"Equivalent terms, size and material (PPSU implied) match. '20' implies a straight tee 20x20x20.",equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO T-HAARALIITIN 16x16x16 PPSU,1726016,PURISTUS T-HAARA 16 ONEPIPE U-LIITIN,0.95,"Equivalent terms, size and material (PPSU implied) match. '16' implies a straight tee 16x16x16.",equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO JATKOLIITIN 40x40 PPSU,1750256,PURISTUSJATKOLIITIN K5 40 TIGRIS PPSU,0.95,Customer's 'KOMPO JATKOLIITIN' is equivalent to 'PURISTUSJATKOLIITIN'. Size and material (PPSU) match. '40' implies 40x40.,equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO JATKOLIITIN 32x32 PPSU,1726055,PURISTUSJATKOLIITIN 32 ONEPIPE U-LIITIN,0.95,"Equivalent terms, size and material (PPSU implied) match. '32' implies 32x32.",equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO JATKOLIITIN 20x20 PPSU,1726053,PURISTUSJATKOLIITIN  20 ONEPIPE U-LIITIN,0.95,"Equivalent terms, size and material (PPSU implied) match. '20' implies 20x20.",equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO JATKOLIITIN 16x16 PPSU,1726052,PURISTUSJATKOLIITIN 16 ONEPIPE U-LIITIN,0.95,"Equivalent terms, size and material (PPSU implied) match. '16' implies 16x16.",equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO JATKOLIITIN 63x40 PPSU,1750087,PURISTUSSUPISTUSLIITIN K1 63X40 TIGRIS PPSU,0.95,Customer's 'KOMPO JATKOLIITIN' for reducing sizes is equivalent to 'PURISTUSSUPISTUSLIITIN'. Sizes and material (PPSU) match.,equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO JATKOLIITIN 50x40 PPSU,1750085,PURISTUSSUPISTUSLIITIN K1 50X40 TIGRIS PPSU,0.95,"Equivalent terms, sizes and material (PPSU) match.",equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO JATKOLIITIN 40x32 PPSU,1750257,PURISTUSSUPISTUSLIITIN K5 40X32 TIGRIS PPSU,0.95,"Equivalent terms, sizes and material (PPSU) match.",equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO JATKOLIITIN 32x20 PPSU,1750182,PURISTUSSUPISTUSLIITIN K5 32X20 TIGRIS PPSU,0.95,"Equivalent terms, sizes and material (PPSU) match.",equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO JATKOLIITIN 32x26 PPSU,1726062,PURISTUSSUPISTUSLIITIN 32X25 ONEPIPE U-LIITIN,0.85,Equivalent terms. Diameter 26 vs 25 is a common substitution. Material (PPSU implied) matches.,substitute,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO JATKOLIITIN 26x20 PPSU,1726061,PURISTUSSUPISTUSLIITIN 25X20 ONEPIPE U-LIITIN,0.85,Equivalent terms. Diameter 26 vs 25 is a common substitution. Material (PPSU implied) matches.,substitute,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO JATKOLIITIN 26x16 PPSU,1726060,PURISTUSSUPISTUSLIITIN 25X16 ONEPIPE U-LIITIN,0.85,Equivalent terms. Diameter 26 vs 25 is a common substitution. Material (PPSU implied) matches.,substitute,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO JATKOLIITIN 20x16 PPSU,1726059,PURISTUSSUPISTUSLIITIN 20X16 ONEPIPE U-LIITIN,0.95,"Equivalent terms, sizes and material (PPSU implied) match.",equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO KYTKENTÄLIITIN 20x15 pex PUTKI EM,1750277,M5 MUUNNOSLIITIN KUPARI 20X15 TIGRIS MESSINKI,0.9,Customer's 'KYTKENTÄLIITIN' (connection fitting) is equivalent to 'MUUNNOSLIITIN' (adapter fitting) for PEX to copper. Sizes match.,equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO KYTKENTÄLIITIN 16x15 pex PUTKI EM,1726068,MUUNNOSLIITIN KUPARI 16X15 ONEPIPE U-LIITIN,0.9,Equivalent terms for PEX to copper connection. Sizes match.,equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO KYTKENTÄLIITIN 16x12 CU-PUTKI EM,1750435,M5 MUUNNOSLIITIN KUPARI 16X12 TIGRIS MESSINKI,0.95,Equivalent terms for PEX to copper connection. 'CU-PUTKI' explicitly matches 'KUPARI'. Sizes match.,equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO SUORALIITIN UK 40x1 1/4 EM,1750261,"PURISTUSLIITIN K5 UK 40X1 1/4"" TIGRIS PPSU",0.95,Customer's 'SUORALIITIN UK' (straight male thread fitting) is equivalent to 'PURISTUSLIITIN UK'. Sizes match. 'EM' (external male) matches 'UK' (ulkokierre).,equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO SUORALIITIN UK 32x1 EM,1726074,PURISTUSLIITIN UK 32X1 ONEPIPE U-LIITIN,0.95,"Equivalent terms, sizes match.",equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO SUORALIITIN UK 26x1 EM,1750216,"PURISTUSLIITIN K5 UK 25X1"" TIGRIS PPSU",0.85,Equivalent terms. Diameter 26 vs 25 is a common substitution. Thread size matches.,substitute,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO SUORALIITIN UK 26x3/4 EM,1726072,PURISTUSLIITIN UK 25X3/4 ONEPIPE U-LIITIN,0.85,Equivalent terms. Diameter 26 vs 25 is a common substitution. Thread size matches.,substitute,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO SUORALIITIN UK 20x3/4 EM,1726071,PURISTUSLIITIN UK 20X3/4 ONEPIPE U-LIITIN,0.95,"Equivalent terms, sizes match.",equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO SUORALIITIN UK 16x3/4 EM,1750212,"PURISTUSLIITIN K5 UK 16X3/4"" TIGRIS PPSU",0.95,"Equivalent terms, sizes match.",equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
KOMPO SUORALIITIN UK 16x1/2 EM,1726069,PURISTUSLIITIN UK 16X1/2 ONEPIPE U-LIITIN,0.95,"Equivalent terms, sizes match.",equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
PALLOVENTTIILI EM 2 SK PN22,3711018,"PALLOVENTTIILI EM SK/SK 2"" ONEPIPE",0.9,"Customer's 'PALLOVENTTIILI EM SK' is equivalent to 'PALLOVENTTIILI EM SK/SK'. Size 2"" matches. PN rating (PN22 vs implied PN25) is a minor difference.",approximate,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
PALLOVENTTIILI EM 1 1/2 SK PN23,3711016,"PALLOVENTTIILI EM SK/SK 1 1/2"" ONEPIPE",0.9,"Equivalent terms, size matches. PN rating (PN23 vs implied PN25) is a minor difference.",approximate,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
PALLOVENTTIILI EM 1 1/4 SK PN24,3711014,"PALLOVENTTIILI EM SK/SK 1 1/4"" ONEPIPE",0.9,"Equivalent terms, size matches. PN rating (PN24 vs implied PN25) is a minor difference.",approximate,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
PALLOVENTTIILI EM 1 SK PN25,3711012,"PALLOVENTTIILI EM SK/SK 1"" ONEPIPE",0.95,"Equivalent terms, size and PN rating (PN25) match.",equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
PALLOVENTTIILI EM 3/4 SK PN25,3711010,"PALLOVENTTIILI EM SK/SK 3/4"" ONEPIPE",0.95,"Equivalent terms, size and PN rating (PN25) match.",equivalent,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
LINJASÄÄTÖVENTTIILI DN10,4013670,"LINJASÄÄTÖVENTTIILI DN 10 ONEPIPE, DZR, PN 25",1.0,Exact match for product type and DN size.,exact,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
LINJASÄÄTÖVENTTIILI DN15,4013671,"LINJASÄÄTÖVENTTIILI DN 15 ONEPIPE, DZR, PN 25",1.0,Exact match for product type and DN size.,exact,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
LINJASÄÄTÖVENTTIILI DN20,4013672,"LINJASÄÄTÖVENTTIILI DN 20 ONEPIPE, DZR, PN 25",1.0,Exact match for product type and DN size.,exact,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
LINJASÄÄTÖVENTTIILI DN25,4013673,"LINJASÄÄTÖVENTTIILI DN 25 ONEPIPE, DZR, PN 25",1.0,Exact match for product type and DN size.,exact,2025-09-02T21:33:23.137020,customer_example1.txt + offer_example1.txt
Sinkitty M-press 28-¾ SK 2kpl,1549651,M-PRESS LIITIN/MUHVI UK 28 X 3/4,0.6,"The size (28mm to 3/4"") matches, and it's an M-press fitting. However, the customer requested 'SK' (likely female thread), while the offered product is 'UK' (male thread). This would be a functional substitute if the thread direction is flexible.",substitute,2025-08-25T13:51:02.564987,customer_example1.txt + offer_example1.txt
Sinkitty M-press 28 90 kulma ++ 4kpl,1549706,M-PRESS KÄYRÄ PYÖR 90 S/S 28,0.95,"Exact match in type (90-degree elbow), size (28mm), and system (M-press). 'Käyrä' is a common synonym for 'kulma' in this context.",equivalent,2025-08-25T13:51:02.564987,customer_example1.txt + offer_example1.txt
Sinkitty M-press 28-28 muhvi 4kpl,1549604,M-PRESS MUHVI 28,1.0,"Exact match in type (coupling/sleeve), size (28mm), and system (M-press).",exact,2025-08-25T13:51:02.564987,customer_example1.txt + offer_example1.txt
Kupari m-press osat 15 haara 1kpl,1545909,MAPRESS T-HAARA 12 KROM GEBERIT MAPRESS CU,0.7,"The type (T-branch) and material (copper) match, and 'Mapress' is a specific brand of 'm-press' fittings. However, the size is 12mm instead of the requested 15mm.",approximate,2025-08-25T13:51:02.564987,customer_example1.txt + offer_example1.txt
Kupari m-press osat 15 kulma 3kpl,1545900,MAPRESS KÄYRÄ 90 S/S 12 KROM GEBERIT MAPRESS CU,0.7,"The type (90-degree elbow) and material (copper) match, and 'Mapress' is a specific brand of 'm-press' fittings. However, the size is 12mm instead of the requested 15mm.",approximate,2025-08-25T13:51:02.564987,customer_example1.txt + offer_example1.txt
Venttiilit Dn15 täyttöventtiili,4012144,PUMPPUVENTTIILI DN15/CU15 ORAS 413015,0.6,"The size (DN15) matches, and it's a valve for water systems. While not explicitly a 'filling valve', a pump valve might serve a similar function or be an acceptable alternative in some contexts.",substitute,2025-08-25T13:51:02.564987,customer_example1.txt + offer_example1.txt
Venttiilit Dn 10 suora patteriventtiili 8kpl yhdistäjillä,4035104,PATTERIVENTTIILIRUNKO S RA-N DN15 DANFOSS 13G0054,0.8,"This is a straight radiator valve body, which is the core component. The size is DN15 instead of DN10, which is a common and often acceptable size difference for radiator valves. 'Yhdistäjillä' (connectors) are typically standard for such valve bodies.",substitute,2025-08-25T13:51:02.564987,customer_example1.txt + offer_example1.txt
Venttiilit Ilmaruuvi ⅛ 11kpl,4162133,AUTOM. ILMANPOISTIN HW SULULLA PYSTY EA122-BA 1/4 UK -3/8UK PT,0.6,"Functional match for air removal, but the offered product is an automatic air vent, not a manual air screw ('ilmaruuvi'), and the sizes differ (1/4"" or 3/8"" vs 1/8"").",substitute,2025-08-25T13:51:02.564987,customer_example1.txt + offer_example1.txt
Pipe 12 Cu,1582111,KUPARIPUTKI VEDETTY 5M 12X10,1.0,"The customer requests a 12mm copper pipe, and the offer provides 'KUPARIPUTKI VEDETTY 5M 12X10', which is a 12mm copper pipe.",exact,2025-09-02T22:01:24.246824,customer_example1.txt + offer_example1.txt
Pipe 15 Cu,1582114,KUPARIPUTKI VEDETTY 5M 15X13,1.0,"The customer requests a 15mm copper pipe, and the offer provides 'KUPARIPUTKI VEDETTY 5M 15X13', which is a 15mm copper pipe.",exact,2025-09-02T22:01:24.246824,customer_example1.txt + offer_example1.txt
Pipe 18 Cu,1582117,KUPARIPUTKI VEDETTY 5M 18X16,1.0,"The customer requests an 18mm copper pipe, and the offer provides 'KUPARIPUTKI VEDETTY 5M 18X16', which is an 18mm copper pipe.",exact,2025-09-02T22:01:24.246824,customer_example1.txt + offer_example1.txt
Pipe 22 Cu,1582120,KUPARIPUTKI VEDETTY 5M 22X20,1.0,"The customer requests a 22mm copper pipe, and the offer provides 'KUPARIPUTKI VEDETTY 5M 22X20', which is a 22mm copper pipe.",exact,2025-09-02T22:01:24.246824,customer_example1.txt + offer_example1.txt
Bend-90 12 Cu,1549702,M-PRESS CU KÄYRÄ PYÖR 90 S/S 12,1.0,"The customer requests a 90-degree copper bend of 12mm, and the offer provides 'M-PRESS CU KÄYRÄ PYÖR 90 S/S 12', which is a 12mm copper 90-degree bend.",exact,2025-09-02T22:01:24.246824,customer_example1.txt + offer_example1.txt
Bend-90 15 Cu,1549703,M-PRESS CU KÄYRÄ PYÖR 90 S/S 15,1.0,"The customer requests a 90-degree copper bend of 15mm, and the offer provides 'M-PRESS CU KÄYRÄ PYÖR 90 S/S 15', which is a 15mm copper 90-degree bend.",exact,2025-09-02T22:01:24.246824,customer_example1.txt + offer_example1.txt
Bend-90 18 Cu,1549704,M-PRESS CU KÄYRÄ PYÖR 90 S/S 18,1.0,"The customer requests a 90-degree copper bend of 18mm, and the offer provides 'M-PRESS CU KÄYRÄ PYÖR 90 S/S 18', which is an 18mm copper 90-degree bend.",exact,2025-09-02T22:01:24.246824,customer_example1.txt + offer_example1.txt
Bend-90 22 Cu,1549705,M-PRESS CU KÄYRÄ PYÖR 90 S/S 22,1.0,"The customer requests a 90-degree copper bend of 22mm, and the offer provides 'M-PRESS CU KÄYRÄ PYÖR 90 S/S 22', which is a 22mm copper 90-degree bend.",exact,2025-09-02T22:01:24.246824,customer_example1.txt + offer_example1.txt
T-branch-90 15/15/12 Cu,1549796,M-PRESS CU T-HAARA 15 X 15 X 12,1.0,"The customer requests a 15x15x12mm copper T-branch, and the offer provides 'M-PRESS CU T-HAARA 15 X 15 X 12', which is an exact match.",exact,2025-09-02T22:01:24.246824,customer_example1.txt + offer_example1.txt
T-branch-90 15/15 Cu,1549784,M-PRESS CU T-HAARA 15,1.0,"The customer requests a 15mm copper T-branch (implying a straight tee 15x15x15), and the offer provides 'M-PRESS CU T-HAARA 15', which is a straight 15mm copper tee.",exact,2025-09-02T22:01:24.246824,customer_example1.txt + offer_example1.txt
T-branch-90 18/18/12 Cu,1549785,M-PRESS CU T-HAARA 18,0.7,The customer requests a reducing copper T-branch (18/18/12). The offer provides a straight 18mm copper T-branch. It matches the main pipe size and type but not the reducing branch size.,approximate,2025-09-02T22:01:24.246824,customer_example1.txt + offer_example1.txt
T-branch-90 22/22/18 Cu,1549810,M-PRESS CU T-HAARA 22 X 22 X 18,1.0,"The customer requests a 22x22x18mm copper T-branch, and the offer provides 'M-PRESS CU T-HAARA 22 X 22 X 18', which is an exact match.",exact,2025-09-02T22:01:24.246824,customer_example1.txt + offer_example1.txt
Reducer/Expander _15/12 Cu,1549910,M-PRESS CU SUPISTUSMUHVI 15 X 12,1.0,"The customer requests a 15/12mm copper reducer/expander. The offer provides 'M-PRESS CU SUPISTUSMUHVI 15 X 12', which is a 15x12mm copper reducing coupling.",exact,2025-09-02T22:01:24.247879,customer_example1.txt + offer_example1.txt
Reducer/Expander 22/18 Cu,1549673,M-PRESS CU SUPISTUSYHDE 22 X 18,1.0,"The customer requests a 22/18mm copper reducer/expander. The offer provides 'M-PRESS CU SUPISTUSYHDE 22 X 18', which is a 22x18mm copper reducing connector.",exact,2025-09-02T22:01:24.247879,customer_example1.txt + offer_example1.txt
Zone valve 10 LSV1 STAD/F-10/09,4014203,LINJASÄÄTÖVENTTIILI STAD DN 10,0.9,"The customer requests a Zone valve, STAD brand, DN10. The offer provides 'LINJASÄÄTÖVENTTIILI STAD DN 10', which is a line balancing valve of the STAD brand and DN10 size. A line balancing valve can serve as a zone valve.",equivalent,2025-09-02T22:01:24.247879,customer_example1.txt + offer_example1.txt
Stop valve 10 S1 SV DN10 Ball valve,3711006,"PALLOVENTTIILI EM SK/SK 3/8""",0.95,"The customer requests a DN10 Ball valve. The offer provides a 'PALLOVENTTIILI' (ball valve) with a size of 3/8"", which is equivalent to DN10.",equivalent,2025-09-02T22:01:24.247879,customer_example1.txt + offer_example1.txt
Stop valve 15 S1 SV DN15 Ball valve,3711008,"PALLOVENTTIILI EM SK/SK 1/2""",0.95,"The customer requests a DN15 Ball valve. The offer provides a 'PALLOVENTTIILI' (ball valve) with a size of 1/2"", which is equivalent to DN15.",equivalent,2025-09-02T22:01:24.247879,customer_example1.txt + offer_example1.txt
Stop valve 20 S1 SV DN20 Ball valve,3711010,"PALLOVENTTIILI EM SK/SK 3/4""",0.95,"The customer requests a DN20 Ball valve. The offer provides a 'PALLOVENTTIILI' (ball valve) with a size of 3/4"", which is equivalent to DN20.",equivalent,2025-09-02T22:01:24.247879,customer_example1.txt + offer_example1.txt
Domestic water device AP01 1030,6219173,KEITTIÖHANA SAFIRA ORAS 1030FS,1.0,"The customer requests a domestic water device with model '1030'. The offer provides 'KEITTIÖHANA SAFIRA ORAS 1030FS', which is an Oras kitchen faucet with the exact model number.",exact,2025-09-02T22:01:24.247879,customer_example1.txt + offer_example1.txt
Domestic water device PA12 1012,6110326,PESUALLASHANA SAFIRA BIDE ORAS1012F,1.0,"The customer requests a domestic water device with model '1012'. The offer provides 'PESUALLASHANA SAFIRA BIDE ORAS1012F', which is an Oras basin mixer with bidet with the exact model number.",exact,2025-09-02T22:01:24.247879,customer_example1.txt + offer_example1.txt
Domestic water device SU01 7149(0.2),6318050,AMME-SUIHKUHANASETTI OPTIMA ECO ORAS 7149,1.0,"The customer requests a domestic water device with model '7149'. The offer provides 'AMME-SUIHKUHANASETTI OPTIMA ECO ORAS 7149', which is an Oras bath/shower mixer set with the exact model number.",exact,2025-09-02T22:01:24.247879,customer_example1.txt + offer_example1.txt
Drainage pipe 50 PP,2411163,MUHVIPUTKI PP 50 X 3000,1.0,"The customer requests a 50mm PP drainage pipe. The offer provides 'MUHVIPUTKI PP 50 X 3000', which is a 50mm PP socket pipe.",exact,2025-09-02T22:01:24.247879,customer_example1.txt + offer_example1.txt
Drainage pipe 75 PP,2410164,MUHVIPUTKI PP 75 X 3000,1.0,"The customer requests a 75mm PP drainage pipe. The offer provides 'MUHVIPUTKI PP 75 X 3000', which is a 75mm PP socket pipe.",exact,2025-09-02T22:01:24.247879,customer_example1.txt + offer_example1.txt
Drainage pipe 110 PP,2410166,MUHVIPUTKI PP 110 X 3000,1.0,"The customer requests a 110mm PP drainage pipe. The offer provides 'MUHVIPUTKI PP 110 X 3000', which is a 110mm PP socket pipe.",exact,2025-09-02T22:01:24.247879,customer_example1.txt + offer_example1.txt
